PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=23.6 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=139 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=147 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=145 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=157 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=155 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=128 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=101 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=115 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=129 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=135 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=152 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=235 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=244 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=286 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=280 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=302 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=275 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=334 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=273 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=220 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=235 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=208 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=209 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=156 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=147 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=161 ms
