PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=1420 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=1418 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=1375 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=1396 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=1342 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=1315 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=1293 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=1226 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=1182 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=1155 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=1158 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=1150 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=1146 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=1167 ms
64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=1148 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=1161 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=1163 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=1166 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=1155 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=1167 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=1154 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=1143 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=1132 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=1129 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=1086 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=1074 ms
64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=1078 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=1039 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=1020 ms
64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=992 ms
64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=998 ms
64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=992 ms
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=1006 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=1026 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=1018 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=982 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=979 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=976 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=981 ms
64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=977 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=974 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=980 ms
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=982 ms
64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=986 ms
64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=966 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=971 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=944 ms
64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=925 ms
64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=898 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=862 ms
64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=836 ms
64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=800 ms
64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=772 ms
64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=745 ms
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=742 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=747 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=751 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=754 ms
64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=750 ms
64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=753 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=749 ms
64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=761 ms
64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=766 ms
64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=764 ms
64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=778 ms
64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=791 ms
64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=780 ms
64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=792 ms
64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=796 ms
64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=767 ms
64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=731 ms
64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=713 ms
64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=725 ms
64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=739 ms
64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=752 ms
64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=741 ms
64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=751 ms
64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=732 ms
64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=737 ms
64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=741 ms
64 bytes from 10.0.0.2: icmp_seq=174 ttl=64 time=754 ms
64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=758 ms
64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=763 ms
64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=769 ms
64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=766 ms
64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=845 ms
64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=850 ms
64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=839 ms
64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=844 ms
64 bytes from 10.0.0.2: icmp_seq=183 ttl=64 time=849 ms
64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=845 ms
64 bytes from 10.0.0.2: icmp_seq=185 ttl=64 time=859 ms
64 bytes from 10.0.0.2: icmp_seq=186 ttl=64 time=863 ms
64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=876 ms
64 bytes from 10.0.0.2: icmp_seq=188 ttl=64 time=872 ms
64 bytes from 10.0.0.2: icmp_seq=189 ttl=64 time=869 ms
64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=882 ms
64 bytes from 10.0.0.2: icmp_seq=191 ttl=64 time=879 ms
64 bytes from 10.0.0.2: icmp_seq=192 ttl=64 time=884 ms
64 bytes from 10.0.0.2: icmp_seq=193 ttl=64 time=881 ms
64 bytes from 10.0.0.2: icmp_seq=194 ttl=64 time=878 ms
64 bytes from 10.0.0.2: icmp_seq=195 ttl=64 time=891 ms
64 bytes from 10.0.0.2: icmp_seq=196 ttl=64 time=888 ms
64 bytes from 10.0.0.2: icmp_seq=197 ttl=64 time=894 ms
64 bytes from 10.0.0.2: icmp_seq=198 ttl=64 time=891 ms
64 bytes from 10.0.0.2: icmp_seq=199 ttl=64 time=896 ms
64 bytes from 10.0.0.2: icmp_seq=200 ttl=64 time=893 ms
64 bytes from 10.0.0.2: icmp_seq=201 ttl=64 time=890 ms
64 bytes from 10.0.0.2: icmp_seq=202 ttl=64 time=887 ms
