PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=373 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=369 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=397 ms
64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=411 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=407 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=421 ms
64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=412 ms
64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=408 ms
64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=412 ms
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=406 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=297 ms
64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=197 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=170 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=154 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=146 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=158 ms
64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=138 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=143 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=155 ms
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=137 ms
64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=142 ms
64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=153 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=134 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=129 ms
64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=123 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=135 ms
64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=116 ms
64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=128 ms
64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=123 ms
64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=134 ms
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=149 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=152 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=149 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=145 ms
64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=142 ms
64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=147 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=158 ms
64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=147 ms
64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=151 ms
64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=158 ms
64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=146 ms
64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=150 ms
64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=168 ms
64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=146 ms
64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=166 ms
64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=155 ms
64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=152 ms
64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=147 ms
64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=145 ms
64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=158 ms
64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=136 ms
64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=150 ms
64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=154 ms
64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=134 ms
64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=147 ms
64 bytes from 10.0.0.2: icmp_seq=174 ttl=64 time=143 ms
64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=156 ms
64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=153 ms
64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=173 ms
64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=146 ms
64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=142 ms
