PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=187 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=201 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=197 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=202 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=217 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=214 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=216 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=165 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=178 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=174 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=172 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=167 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=156 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=170 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=167 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=164 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=169 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=166 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=163 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=167 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=164 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=185 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=183 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=163 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=184 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=189 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=260 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=241 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=251 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=240 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=205 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=218 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=199 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=180 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=184 ms
64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=189 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=194 ms
64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=198 ms
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=217 ms
