PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=24.3 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=130 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=237 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=242 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=349 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=403 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=593 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=746 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=855 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=961 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=1061 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=1167 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=1277 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=1368 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=1475 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=1422 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=1368 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=1312 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=1260 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=1216 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=1162 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=1118 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=1064 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=1012 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=962 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=911 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=812 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=757 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=754 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=751 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=754 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=754 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=750 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=752 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=753 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=757 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=761 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=757 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=754 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=759 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=757 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=762 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=766 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=763 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=776 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=765 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=770 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=768 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=764 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=761 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=757 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=771 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=767 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=764 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=777 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=782 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=763 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=776 ms
